[2022-03-12 19:08:59,331] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
2022-03-12 20:57:26,089 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,089 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,090 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,090 : INFO : cflib.drivers.cfusb : Looking for devices....
2022-03-12 20:57:26,091 : INFO : cflib.crtp.prrtdriver : Initialized PRRT driver.
2022-03-12 20:57:26,091 : INFO : root : getting drones.................
2022-03-12 20:57:26,091 : INFO : root : No drones found nearby. Retrying in 5 seconds.
[2022-03-12 21:04:54,554] INFO - (main.py:114) - Argos server launched 
[2022-03-12 21:04:54,566] INFO - (main.py:119) - Crazyflie server launched 
[2022-03-12 21:04:54,570] INFO - (main.py:122) - app launched 
[2022-03-12 21:04:54,597] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
[2022-03-12 21:04:54,608] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:54,610] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:54,615] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:54,617] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:54,621] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:54,625] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:54,627] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:54,628] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:54,628] INFO - (crazyflie_server.py:76) - getting drones................. 
[2022-03-12 21:04:54,629] INFO - (crazyflie_server.py:51) - No drones found nearby. Retrying in 5 seconds. 
[2022-03-12 21:04:59,635] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:59,637] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:59,638] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:59,640] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:59,641] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:59,642] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:59,643] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:04:59,644] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:04:59,644] INFO - (crazyflie_server.py:76) - getting drones................. 
[2022-03-12 21:04:59,644] INFO - (crazyflie_server.py:51) - No drones found nearby. Retrying in 5 seconds. 
[2022-03-12 21:05:31,037] INFO - (main.py:114) - Argos server launched 
[2022-03-12 21:05:31,038] INFO - (main.py:119) - Crazyflie server launched 
[2022-03-12 21:05:31,055] INFO - (main.py:122) - app launched 
[2022-03-12 21:05:31,062] INFO - (_internal.py:225) -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit) 
[2022-03-12 21:05:31,067] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:31,072] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:31,075] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:31,077] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:31,081] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:31,083] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:31,086] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:31,089] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:31,090] INFO - (crazyflie_server.py:76) - getting drones................. 
[2022-03-12 21:05:31,092] INFO - (crazyflie_server.py:51) - No drones found nearby. Retrying in 5 seconds. 
[2022-03-12 21:05:36,098] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:36,098] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:36,100] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:36,100] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:36,101] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:36,102] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:36,102] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:36,103] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:36,103] INFO - (crazyflie_server.py:76) - getting drones................. 
[2022-03-12 21:05:36,103] INFO - (crazyflie_server.py:51) - No drones found nearby. Retrying in 5 seconds. 
[2022-03-12 21:05:41,108] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:41,108] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:41,144] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:41,145] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:41,147] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:41,148] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:41,149] INFO - (cfusb.py:57) - Looking for devices.... 
[2022-03-12 21:05:41,150] INFO - (prrtdriver.py:36) - Initialized PRRT driver. 
[2022-03-12 21:05:41,150] INFO - (crazyflie_server.py:76) - getting drones................. 
[2022-03-12 21:05:41,150] INFO - (crazyflie_server.py:51) - No drones found nearby. Retrying in 5 seconds. 
2022-03-12 21:16:57,751 : INFO : Argos server launched
2022-03-12 21:21:00,165 : INFO : Argos server launched
2022-03-12 21:22:33,815 : INFO : Argos server launched
2022-03-13 20:53:19,196 : INFO : Argos server launched
2022-03-13 20:56:15,748 : INFO : Argos server launched
2022-03-13 21:38:51,633 : INFO : Argos server launched
2022-03-13 21:40:40,411 : INFO : Argos server launched
2022-03-13 21:41:39,797 : INFO : Argos server launched
2022-03-13 21:44:37,595 : INFO : Argos server launched
2022-03-13 21:46:59,091 : INFO : Argos server launched
2022-03-13 21:47:33,477 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 21:47:33,485 : INFO : Looking for devices....
2022-03-13 21:47:33,485 : WARNING : Exception while scanning for Crazyflie USB: emit must be implemented by Handler subclasses
2022-03-13 21:49:03,238 : INFO : Argos server launched
2022-03-13 21:49:03,249 : INFO : Looking for devices....
2022-03-13 21:49:03,250 : INFO : Crazyflie server launched
2022-03-13 21:49:03,251 : INFO : Initialized PRRT driver.
2022-03-13 21:49:03,255 : INFO : app launched
2022-03-13 21:49:03,256 : INFO : Looking for devices....
2022-03-13 21:49:03,257 : INFO : Initialized PRRT driver.
2022-03-13 21:49:03,259 : INFO : Looking for devices....
2022-03-13 21:49:03,260 : INFO : Initialized PRRT driver.
2022-03-13 21:49:03,261 : INFO : Looking for devices....
2022-03-13 21:49:03,263 : INFO : Initialized PRRT driver.
2022-03-13 21:49:03,263 : INFO : getting drones.................
2022-03-13 21:49:03,264 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 21:49:03,266 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 21:49:08,271 : INFO : Looking for devices....
2022-03-13 21:49:08,272 : INFO : Initialized PRRT driver.
2022-03-13 21:49:08,273 : INFO : Looking for devices....
2022-03-13 21:49:08,274 : INFO : Initialized PRRT driver.
2022-03-13 21:49:08,276 : INFO : Looking for devices....
2022-03-13 21:49:08,277 : INFO : Initialized PRRT driver.
2022-03-13 21:49:08,277 : INFO : Looking for devices....
2022-03-13 21:49:08,278 : INFO : Initialized PRRT driver.
2022-03-13 21:49:08,278 : INFO : getting drones.................
2022-03-13 21:49:08,278 : INFO : No drones found nearby. Retrying in 5 seconds.
2022-03-13 21:51:20,989 : INFO : Argos server launched
2022-03-13 21:51:55,665 : INFO : Argos server launched
2022-03-13 21:51:55,682 : INFO : Crazyflie server launched
2022-03-13 21:51:55,686 : INFO : app launched
2022-03-13 21:51:55,691 : INFO : Looking for devices....
2022-03-13 21:51:55,696 : INFO : Initialized PRRT driver.
2022-03-13 21:51:55,699 : INFO : Looking for devices....
2022-03-13 21:51:55,701 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 21:51:55,702 : INFO : Initialized PRRT driver.
2022-03-13 21:52:08,327 : INFO : 127.0.0.1 - - [13/Mar/2022 21:52:08] "GET / HTTP/1.1" 200 -
2022-03-13 21:52:08,328 : INFO : 127.0.0.1 - - [13/Mar/2022 21:52:08] "GET / HTTP/1.1" 200 -
2022-03-13 21:52:17,441 : INFO : Argos server launched
2022-03-13 21:52:17,458 : INFO : Crazyflie server launched
2022-03-13 21:52:17,461 : INFO : app launched
2022-03-13 21:52:17,465 : INFO : Looking for devices....
2022-03-13 21:52:17,468 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 21:52:17,470 : INFO : Initialized PRRT driver.
2022-03-13 21:52:47,248 : INFO : 127.0.0.1 - - [13/Mar/2022 21:52:47] "GET /argosData HTTP/1.1" 200 -
2022-03-13 21:52:47,249 : INFO : 127.0.0.1 - - [13/Mar/2022 21:52:47] "GET /argosData HTTP/1.1" 200 -
2022-03-13 21:52:52,505 : INFO : Argos server launched
2022-03-13 21:52:52,532 : INFO : Crazyflie server launched
2022-03-13 21:52:52,534 : INFO : app launched
2022-03-13 21:52:52,540 : INFO :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-03-13 21:52:52,542 : INFO : Looking for devices....
2022-03-13 21:53:34,877 : INFO : 127.0.0.1 - - [13/Mar/2022 21:53:34] "GET /argosData HTTP/1.1" 200 -
2022-03-13 21:53:34,879 : INFO : 127.0.0.1 - - [13/Mar/2022 21:53:34] "GET /argosData HTTP/1.1" 200 -
2022-03-13 22:04:19,498 : INFO : Argos server launched
2022-03-13 22:04:19,499 : INFO : Crazyflie server launched
2022-03-13 22:04:19,503 : INFO : Looking for devices....
2022-03-13 22:04:19,503 : INFO : Initialized PRRT driver.
2022-03-13 22:04:19,504 : INFO : Looking for devices....
2022-03-13 22:04:19,504 : INFO : Initialized PRRT driver.
2022-03-13 22:04:19,505 : INFO : Looking for devices....
2022-03-13 22:04:19,505 : INFO : Initialized PRRT driver.
2022-03-13 22:04:19,506 : INFO : app launched
2022-03-13 22:04:19,506 : INFO : Looking for devices....
